Aircraft Type,Cause Category,Weather,Flight Phase,Damage Level,Event Count
Cessna T210N,General,VMC,Approach,Substantial,29
Cessna 150,General,VMC,Takeoff,Destroyed,29
Piper PA-28-235,General,VMC,Landing,Substantial,29
Robinson R22,General,VMC,Landing,Substantial,29
Luscombe 8E,General,VMC,Landing,Substantial,29
Beech 95-B55,General,VMC,Landing,Substantial,29
Hughes 269A,General,VMC,Maneuvering,Substantial,29
Cessna A188B,General,VMC,Landing,Substantial,29
Bell 206B,General,VMC,Cruise,Destroyed,29
Piper PA-28-140,General,VMC,Cruise,Destroyed,29
Cessna 150F,General,VMC,Cruise,Substantial,29
Cessna T210N,General,VMC,Cruise,Substantial,28
Piper PA-24-250,Human Error,VMC,Unknown,Substantial,28
Mooney M20C,General,VMC,Cruise,Substantial,28
Piper PA-28-151,General,VMC,Takeoff,Substantial,28
Piper J3C-65,General,VMC,Landing,Substantial,28
Cessna 172P,General,VMC,Approach,Substantial,28
Piper PA-32-300,General,VMC,Takeoff,Substantial,28
Cessna 180,General,VMC,Taxi,Substantial,28
Piper PA-38-112,General,VMC,Approach,Substantial,28
Cessna 172K,Human Error,VMC,Unknown,Substantial,28
Stinson 108-1,General,VMC,Landing,Substantial,28
Cessna 152,General,VMC,Climb,Substantial,28
Cessna 172,General,VMC,Go_around,Substantial,28
Cessna R182,General,VMC,Landing,Substantial,27
Cessna 150F,Human Error,VMC,Unknown,Substantial,27
Boeing 777,Unknown,UNK,Unknown,Minor,27
Cessna 210,General,VMC,Approach,Substantial,27
Cessna 175,General,VMC,Takeoff,Substantial,27
Robinson R22,Unknown,UNK,Unknown,Substantial,27
Piper PA-28R-200,General,VMC,Approach,Substantial,27
Cessna T210M,General,VMC,Cruise,Substantial,27
Cessna 207,General,VMC,Takeoff,Substantial,27
Piper PA-28-181,General,IMC,Cruise,Destroyed,27
Piper PA-23-250,General,VMC,Cruise,Substantial,27
Mooney M20J,General,VMC,Takeoff,Substantial,27
Piper PA-28,General,VMC,Takeoff,Substantial,27
Cirrus.Design.Corp SR20,Human Error,VMC,Unknown,Substantial,27
Beech A36,General,VMC,Landing,Substantial,27
Piper PA-32-301,General,VMC,Landing,Substantial,27
Cessna 182,Unknown,UNK,Unknown,Substantial,27
Piper PA-28-140,General,VMC,Maneuvering,Substantial,27
Cessna 180J,General,VMC,Landing,Substantial,27
Mooney M20C,Human Error,VMC,Unknown,Substantial,27
Cessna 172N,General,VMC,Cruise,Destroyed,26
Cessna R182,Human Error,VMC,Unknown,Substantial,26
Cessna 152,General,VMC,Landing,Destroyed,26
Piper PA-28R-200,General,VMC,Takeoff,Substantial,26
Cessna 182L,General,VMC,Landing,Substantial,26
Cessna 177RG,General,VMC,Cruise,Substantial,26
Schweizer G-164B,General,VMC,Maneuvering,Substantial,26
Piper PA-32-260,General,VMC,Landing,Substantial,26
Cessna 182A,General,VMC,Landing,Substantial,26
Stinson 108-3,General,VMC,Landing,Substantial,26
Boeing 747,Unknown,UNK,Unknown,Minor,26
Cessna P210N,Human Error,VMC,Unknown,Substantial,26
Cessna 172N,General,VMC,Takeoff,Destroyed,26
Cessna 185,Human Error,VMC,Unknown,Substantial,26
Piper PA-18,General,VMC,Cruise,Substantial,26
Maule M-5-235C,General,VMC,Landing,Substantial,25
Taylorcraft BC12-D,General,VMC,Landing,Substantial,25
Cessna 210L,General,VMC,Landing,Substantial,25
Cessna 172H,General,VMC,Takeoff,Substantial,25
Cessna A185E,General,VMC,Landing,Substantial,25
Piper PA-38-112,General,VMC,Maneuvering,Destroyed,25
Cessna 150J,General,VMC,Approach,Substantial,25
Beech A36,General,VMC,Cruise,Substantial,25
Piper PA-32-260,General,VMC,Takeoff,Substantial,25
Luscombe 8A,General,VMC,Takeoff,Substantial,25
Cessna A188B,Human Error,VMC,Unknown,Substantial,25
Cessna 188,General,VMC,Maneuvering,Substantial,25
Piper PA28R,Human Error,VMC,Unknown,Substantial,25
Champion 7ECA,Human Error,VMC,Unknown,Substantial,25
Cessna TR182,General,VMC,Landing,Substantial,24
Piper PA-28-140,General,IMC,Cruise,Destroyed,24
Piper PA 18,Human Error,VMC,Unknown,Substantial,24
Piper PA-28R-180,General,VMC,Landing,Substantial,24
Cessna U206G,Human Error,VMC,Unknown,Substantial,24
